"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"408","Kab. Tulungagung","Jawa Timur","","Simeulue","Aceh","","","","","","","","","","","","","","","",""
"409","Kab. Wajo","Sulawesi Selatan","","Singkawang","Kalimantan Barat","","","","","","","","","","","","","","","",""
"410","Kab. Wakatobi","Sulawesi Tenggara","","Sinjai","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"411","Kab. Waropen","Papua","","Sintang","Kalimantan Barat","","","","","","","","","","","","","","","",""
"412","Kab. Way Kanan","Lampung","","Situbondo","Jawa Timur","","","","","","","","","","","","","","","",""
"413","Kab. Wonogiri","Jawa Tengah","","Sleman","DI Yogyakarta","","","","","","","","","","","","","","","",""
"414","Kab. Wonosobo","Jawa Tengah","","Solok","Sumatera Barat","","","","","","","","","","","","","","","",""
"415","Kab. Yahukimo","Papua Pegunungan","","Solok Selatan","Sumatera Barat","","","","","","","","","","","","","","","",""
"416","Kab. Yalimo","Papua Pegunungan","","Soppeng","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"417","Kota Administrasi Jakarta Barat","DKI Jakarta","","Sorong","Papua Barat Daya","","","","","","","","","","","","","","","",""
"418","Kota Administrasi Jakarta Pusat","DKI Jakarta","","Sorong Selatan","Papua Barat Daya","","","","","","","","","","","","","","","",""
"419","Kota Administrasi Jakarta Selatan","DKI Jakarta","","Sragen","Jawa Tengah","","","","","","","","","","","","","","","",""
"420","Kota Administrasi Jakarta Timur","DKI Jakarta","","Subang","Jawa Barat","","","","","","","","","","","","","","","",""
"421","Kota Administrasi Jakarta Utara","DKI Jakarta","","Subulussalam","Aceh","","","","","","","","","","","","","","","",""
"422","Kota Ambon","Maluku","","Sukabumi","Jawa Barat","","","","","","","","","","","","","","","",""
"423","Kota Balikpapan","Kalimantan Timur","","Sukamara","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"424","Kota Banda Aceh","Aceh","","Sukoharjo","Jawa Tengah","","","","","","","","","","","","","","","",""
"425","Kota Bandar Lampung","Lampung","","Sumba Barat","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"426","Kota Bandung","Jawa Barat","","Sumba Barat Daya","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"427","Kota Banjar","Jawa Barat","","Sumba Tengah","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"428","Kota Banjarbaru","Kalimantan Selatan","","Sumba Timur","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"429","Kota Banjarmasin","Kalimantan Selatan","","Sumbawa","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"430","Kota Batam","Kep. Riau","","Sumbawa Barat","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"431","Kota Batu","Jawa Timur","","Sumedang","Jawa Barat","","","","","","","","","","","","","","","",""
"432","Kota Baubau","Sulawesi Tenggara","","Sumenep","Jawa Timur","","","","","","","","","","","","","","","",""
"433","Kota Bekasi","Jawa Barat","","Sungai Penuh","Jambi","","","","","","","","","","","","","","","",""
"434","Kota Bengkulu","Bengkulu","","Supiori","Papua","","","","","","","","","","","","","","","",""
"435","Kota Bima","Nusa Tenggara Barat","","Surabaya","Jawa Timur","","","","","","","","","","","","","","","",""
"436","Kota Binjai","Sumatera Utara","","Surakarta","Jawa Tengah","","","","","","","","","","","","","","","",""
"437","Kota Bitung","Sulawesi Utara","","Tabalong","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"438","Kota Blitar","Jawa Timur","","Tabanan","Bali","","","","","","","","","","","","","","","",""
"439","Kota Bogor","Jawa Barat","","Takalar","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"440","Kota Bontang","Kalimantan Timur","","Tambrauw","Papua Barat Daya","","","","","","","","","","","","","","","",""
"441","Kota Bukittinggi","Sumatera Barat","","Tana Tidung","Kalimantan Utara","","","","","","","","","","","","","","","",""
"442","Kota Cilegon","Banten","","Tana Toraja","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"443","Kota Cimahi","Jawa Barat","","Tanah Bumbu","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"444","Kota Cirebon","Jawa Barat","","Tanah Datar","Sumatera Barat","","","","","","","","","","","","","","","",""
"445","Kota Denpasar","Bali","","Tanah Laut","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"446","Kota Depok","Jawa Barat","","Tangerang","Banten","","","","","","","","","","","","","","","",""
"447","Kota Dumai","Riau","","Tangerang Selatan","Banten","","","","","","","","","","","","","","","",""
"448","Kota Gorontalo","Gorontalo","","Tanggamus","Lampung","","","","","","","","","","","","","","","",""
"449","Kota Gunungsitoli","Sumatera Utara","","Tanjung Jabung Barat","Jambi","","","","","","","","","","","","","","","",""
"450","Kota Jambi","Jambi","","Tanjung Jabung Timur","Jambi","","","","","","","","","","","","","","","",""
"451","Kota Jayapura","Papua","","Tanjungbalai","Sumatera Utara","","","","","","","","","","","","","","","",""
"452","Kota Kediri","Jawa Timur","","Tanjungpinang","Kep. Riau","","","","","","","","","","","","","","","",""
"453","Kota Kendari","Sulawesi Tenggara","","Tapanuli Selatan","Sumatera Utara","","","","","","","","","","","","","","","",""
"454","Kota Kotamobagu","Sulawesi Utara","","Tapanuli Tengah","Sumatera Utara","","","","","","","","","","","","","","","",""
"455","Kota Kupang","Nusa Tenggara Timur","","Tapanuli Utara","Sumatera Utara","","","","","","","","","","","","","","","",""
"456","Kota Langsa","Aceh","","Tapin","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"457","Kota Lhokseumawe","Aceh","","Tarakan","Kalimantan Utara","","","","","","","","","","","","","","","",""
"458","Kota Lubuk Linggau","Sumatera Selatan","","Tasikmalaya","Jawa Barat","","","","","","","","","","","","","","","",""
"459","Kota Madiun","Jawa Timur","","Tebing Tinggi","Sumatera Utara","","","","","","","","","","","","","","","",""
"460","Kota Magelang","Jawa Tengah","","Tebo","Jambi","","","","","","","","","","","","","","","",""
"461","Kota Makassar","Sulawesi Selatan","","Tegal","Jawa Tengah","","","","","","","","","","","","","","","",""
"462","Kota Malang","Jawa Timur","","Teluk Bintuni","Papua Barat","","","","","","","","","","","","","","","",""
"463","Kota Manado","Sulawesi Utara","","Teluk Wondama","Papua Barat","","","","","","","","","","","","","","","",""
"464","Kota Mataram","Nusa Tenggara Barat","","Temanggung","Jawa Tengah","","","","","","","","","","","","","","","",""
"465","Kota Medan","Sumatera Utara","","Ternate","Maluku Utara","","","","","","","","","","","","","","","",""
"466","Kota Metro","Lampung","","Tidore Kep.","Maluku Utara","","","","","","","","","","","","","","","",""
"467","Kota Mojokerto","Jawa Timur","","Timor Tengah Selatan","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"468","Kota Padang","Sumatera Barat","","Timor Tengah Utara","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"469","Kota Padang Panjang","Sumatera Barat","","Toba","Sumatera Utara","","","","","","","","","","","","","","","",""
"470","Kota Padangsidimpuan","Sumatera Utara","","Tojo Una Una","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"471","Kota Pagar Alam","Sumatera Selatan","","Tolikara","Papua Pegunungan","","","","","","","","","","","","","","","",""
"472","Kota Palangka Raya","Kalimantan Tengah","","Tolitoli","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"473","Kota Palembang","Sumatera Selatan","","Tomohon","Sulawesi Utara","","","","","","","","","","","","","","","",""
"474","Kota Palopo","Sulawesi Selatan","","Toraja Utara","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"475","Kota Palu","Sulawesi Tengah","","Trenggalek","Jawa Timur","","","","","","","","","","","","","","","",""
"476","Kota Pangkalpinang","Kep. Bangka Belitung","","Tual","Maluku","","","","","","","","","","","","","","","",""
"477","Kota Parepare","Sulawesi Selatan","","Tuban","Jawa Timur","","","","","","","","","","","","","","","",""
"478","Kota Pariaman","Sumatera Barat","","Tulang Bawang","Lampung","","","","","","","","","","","","","","","",""
"479","Kota Pasuruan","Jawa Timur","","Tulang Bawang Barat","Lampung","","","","","","","","","","","","","","","",""
"480","Kota Payakumbuh","Sumatera Barat","","Tulungagung","Jawa Timur","","","","","","","","","","","","","","","",""
"481","Kota Pekalongan","Jawa Tengah","","Wajo","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"482","Kota Pekanbaru","Riau","","Wakatobi","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"483","Kota Pematangsiantar","Sumatera Utara","","Waropen","Papua","","","","","","","","","","","","","","","",""
"484","Kota Pontianak","Kalimantan Barat","","Way Kanan","Lampung","","","","","","","","","","","","","","","",""
"485","Kota Prabumulih","Sumatera Selatan","","Wonogiri","Jawa Tengah","","","","","","","","","","","","","","","",""
"486","Kota Probolinggo","Jawa Timur","","Wonosobo","Jawa Tengah","","","","","","","","","","","","","","","",""
"487","Kota Sabang","Aceh","","Yahukimo","Papua Pegunungan","","","","","","","","","","","","","","","",""
"488","Kota Salatiga","Jawa Tengah","","Yalimo","Papua Pegunungan","","","","","","","","","","","","","","","",""
"489","Kota Samarinda","Kalimantan Timur","","Yogyakarta","DI Yogyakarta","","","","","","","","","","","","","","","",""
"490","Kota Sawahlunto","Sumatera Barat","","","","","","","","","","","","","","","","","","",""
"491","Kota Semarang","Jawa Tengah","","","","","","","","","","","","","","","","","","",""
"492","Kota Serang","Banten","","","","","","","","","","","","","","","","","","",""
"493","Kota Sibolga","Sumatera Utara","","","","","","","","","","","","","","","","","","",""
"494","Kota Singkawang","Kalimantan Barat","","","","","","","","","","","","","","","","","","",""
"495","Kota Solok","Sumatera Barat","","","","","","","","","","","","","","","","","","",""
"496","Kota Sorong","Papua Barat Daya","","","","","","","","","","","","","","","","","","",""
"497","Kota Subulussalam","Aceh","","","","","","","","","","","","","","","","","","",""
"498","Kota Sukabumi","Jawa Barat","","","","","","","","","","","","","","","","","","",""
"499","Kota Sungai Penuh","Jambi","","","","","","","","","","","","","","","","","","",""
"500","Kota Surabaya","Jawa Timur","","","","","","","","","","","","","","","","","","",""
"501","Kota Surakarta","Jawa Tengah","","","","","","","","","","","","","","","","","","",""
"502","Kota Tangerang","Banten","","","","","","","","","","","","","","","","","","",""
"503","Kota Tangerang Selatan","Banten","","","","","","","","","","","","","","","","","","",""
"504","Kota Tanjungbalai","Sumatera Utara","","","","","","","","","","","","","","","","","","",""
"505","Kota Tanjungpinang","Kep. Riau","","","","","","","","","","","","","","","","","","",""
"506","Kota Tarakan","Kalimantan Utara","","","","","","","","","","","","","","","","","","",""
"507","Kota Tasikmalaya","Jawa Barat","","","","","","","","","","","","","","","","","","",""
"508","Kota Tebing Tinggi","Sumatera Utara","","","","","","","","","","","","","","","","","","",""
"509","Kota Tegal","Jawa Tengah","","","","","","","","","","","","","","","","","","",""
"510","Kota Ternate","Maluku Utara","","","","","","","","","","","","","","","","","","",""
"511","Kota Tidore Kep.","Maluku Utara","","","","","","","","","","","","","","","","","","",""
"512","Kota Tomohon","Sulawesi Utara","","","","","","","","","","","","","","","","","","",""
"513","Kota Tual","Maluku","","","","","","","","","","","","","","","","","","",""
"514","Kota Yogyakarta","DI Yogyakarta","","","","","","","","","","","","","","","","","","",""
