"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"46","Kab. Belitung","Kep. Bangka Belitung","","Barito Utara","Kalimantan Tengah","","48","Umum","Organizer Official","Manajer Stadion","Daftar umum","","","","","","","","","",""
"47","Kab. Belitung Timur","Kep. Bangka Belitung","","Barru","Sulawesi Selatan","","49","Umum","Organizer Official","Petugas Keamanan","List of Duties (Sep 2007), appendix (security)","","","","","","","","","",""
"48","Kab. Belu","Nusa Tenggara Timur","","Batam","Kep. Riau","","50","Umum","Organizer Official","Marshall","List of Duties (Sep 2007), point 3 (venue staff)","","","","","","","","","",""
"49","Kab. Bener Meriah","Aceh","","Batang","Jawa Tengah","","51","Umum","Organizer Official","Event Director","Regulasi Kompetisi IHF (21 Agu 2024), II.4.6.1","","","","","","","","","",""
"50","Kab. Bengkalis","Riau","","Batanghari","Jambi","","52","Umum","Organizer Official","Event Manager","Regulasi Kompetisi IHF (21 Agu 2024), II.4.6.1","","","","","","","","","",""
"51","Kab. Bengkayang","Kalimantan Barat","","Batu","Jawa Timur","","53","Umum","Organizer Official","Venue Manager","Regulasi Kompetisi IHF (21 Agu 2024), VII.4","","","","","","","","","",""
"52","Kab. Bengkulu Selatan","Bengkulu","","Batu Bara","Sumatera Utara","","54","Umum","Organizer Official","Venue Director","Regulasi Kompetisi IHF (21 Agu 2024), VII.4 (venue manager)","","","","","","","","","",""
"53","Kab. Bengkulu Tengah","Bengkulu","","Baubau","Sulawesi Tenggara","","55","Umum","Organizer Official","Mekanik","Daftar umum","","","","","","","","","",""
"54","Kab. Bengkulu Utara","Bengkulu","","Bekasi","Jawa Barat","","56","Umum","Organizer Official","Operator IT","Daftar umum","","","","","","","","","",""
"55","Kab. Berau","Kalimantan Timur","","Belitung","Kep. Bangka Belitung","","57","Umum","Team Official","Pelatih Olahraga","Coaching Education Regulations (12 Agu 2023)","","","","","","","","","",""
"56","Kab. Biak Numfor","Papua","","Belitung Timur","Kep. Bangka Belitung","","58","Umum","Team Official","Pelatih Kepala di Sekolah","Coaching Education Regulations (12 Agu 2023), Handball@School","","","","","","","","","",""
"57","Kab. Bima","Nusa Tenggara Barat","","Belu","Nusa Tenggara Timur","","59","Umum","Team Official","Pelatih Fisik","Coaching Education Regulations (12 Agu 2023), level D","","","","","","","","","",""
"58","Kab. Bintan","Kep. Riau","","Bener Meriah","Aceh","","60","Umum","Team Official","Pelatih Usia Dini","Coaching Education Regulations (12 Agu 2023), level D untuk anak","","","","","","","","","",""
"59","Kab. Bireuen","Aceh","","Bengkalis","Riau","","61","Umum","Team Official","Analis Performa","Daftar umum","","","","","","","","","",""
"60","Kab. Blitar","Jawa Timur","","Bengkayang","Kalimantan Barat","","62","Umum","Team Official","Data Analyst","Daftar umum","","","","","","","","","",""
"61","Kab. Blora","Jawa Tengah","","Bengkulu","Bengkulu","","63","Umum","Team Official","Fisiolog Olahraga","Daftar umum","","","","","","","","","",""
"62","Kab. Boalemo","Gorontalo","","Bengkulu Selatan","Bengkulu","","64","Umum","Team Official","Living Assistant","Daftar umum","","","","","","","","","",""
"63","Kab. Bogor","Jawa Barat","","Bengkulu Tengah","Bengkulu","","65","Umum","Team Official","Nutrisionis Olahraga","Daftar umum","","","","","","","","","",""
"64","Kab. Bojonegoro","Jawa Timur","","Bengkulu Utara","Bengkulu","","66","Umum","Team Official","Pelatih Ekstrakurikuler","Daftar umum","","","","","","","","","",""
"65","Kab. Bolaang Mongondow","Sulawesi Utara","","Berau","Kalimantan Timur","","67","Umum","Team Official","Pelatih Fisik Disabilitas","Daftar umum","","","","","","","","","",""
"66","Kab. Bolaang Mongondow Selatan","Sulawesi Utara","","Biak Numfor","Papua","","68","Umum","Team Official","Pelatih Kelas Khusus Olahraga","Daftar umum","","","","","","","","","",""
"67","Kab. Bolaang Mongondow Timur","Sulawesi Utara","","Bima","Nusa Tenggara Barat","","69","Umum","Team Official","Pelatih Mental","Daftar umum","","","","","","","","","",""
"68","Kab. Bolaang Mongondow Utara","Sulawesi Utara","","Binjai","Sumatera Utara","","70","Umum","Team Official","Pelatih Olahraga Disabilitas","Daftar umum","","","","","","","","","",""
"69","Kab. Bombana","Sulawesi Tenggara","","Bintan","Kep. Riau","","71","Umum","Team Official","Psikolog Olahraga","Daftar umum","","","","","","","","","",""
"70","Kab. Bondowoso","Jawa Timur","","Bireuen","Aceh","","72","Umum","Team Official","Pelatih Klub Olahraga Sekolah","Ibid.","","","","","","","","","",""
"71","Kab. Bone","Sulawesi Selatan","","Bitung","Sulawesi Utara","","73","Umum","Team Official","Pelatih Olahraga Akademi","Ibid.","","","","","","","","","",""
"72","Kab. Bone Bolango","Gorontalo","","Blitar","Jawa Timur","","74","Umum","Team Official","Agent (Player Agent)","Player Eligibility Code (21 Des 2025), definisi ""Player Support Personnel""","","","","","","","","","",""
"73","Kab. Boven Digoel","Papua Selatan","","Blora","Jawa Tengah","","75","Umum","Team Official","Trainer","Player Eligibility Code (21 Des 2025), definisi Player Support Personnel","","","","","","","","","",""
"74","Kab. Boyolali","Jawa Tengah","","Boalemo","Gorontalo","","76","Umum","Team Official","Direktur Teknis","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5 (Technical Director)","","","","","","","","","",""
"75","Kab. Brebes","Jawa Tengah","","Bogor","Jawa Barat","","77","Umum","Team Official","Asisten Pelatih Olahraga","Regulasi Kompetisi IHF (21 Agu 2024), I.3.2.2","","","","","","","","","",""
"76","Kab. Buleleng","Bali","","Bojonegoro","Jawa Timur","","78","Umum","Team Official","Dokter Olahraga","Regulasi Kompetisi IHF (21 Agu 2024), I.3.2.2","","","","","","","","","",""
"77","Kab. Bulukumba","Sulawesi Selatan","","Bolaang Mongondow","Sulawesi Utara","","79","Umum","Team Official","Fisioterapis","Regulasi Kompetisi IHF (21 Agu 2024), I.3.2.2","","","","","","","","","",""
"78","Kab. Bulungan","Kalimantan Utara","","Bolaang Mongondow Selatan","Sulawesi Utara","","80","Umum","Team Official","Sport Masseur","Regulasi Kompetisi IHF (21 Agu 2024), I.3.2.2 (physiotherapist/masseur)","","","","","","","","","",""
"79","Kab. Bungo","Jambi","","Bolaang Mongondow Timur","Sulawesi Utara","","81","Umum","Team Official","Tenaga Kesehatan","Regulasi Kompetisi IHF (21 Agu 2024), I.3.5","","","","","","","","","",""
"80","Kab. Buol","Sulawesi Tengah","","Bolaang Mongondow Utara","Sulawesi Utara","","82","Umum","Team Official","Tim Medis","Regulasi Kompetisi IHF (21 Agu 2024), I.3.5","","","","","","","","","",""
"81","Kab. Buru","Maluku","","Bombana","Sulawesi Tenggara","","83","Umum","Team Official","Perawat","Regulasi Kompetisi IHF (21 Agu 2024), I.3.5 (medical staff)","","","","","","","","","",""
"82","Kab. Buru Selatan","Maluku","","Bondowoso","Jawa Timur","","84","Umum","Team Official","Statistician Olahraga","Regulasi Kompetisi IHF (21 Agu 2024), I.3.6","","","","","","","","","",""
"83","Kab. Buton","Sulawesi Tenggara","","Bone","Sulawesi Selatan","","85","Umum","Team Official","Head of Delegation","Regulasi Kompetisi IHF (21 Agu 2024), II.4.5.2","","","","","","","","","",""
"84","Kab. Buton Selatan","Sulawesi Tenggara","","Bone Bolango","Gorontalo","","86","Umum","Volunteer","Volunteer Medis","Ibid.","","","","","","","","","",""
"85","Kab. Buton Tengah","Sulawesi Tenggara","","Bontang","Kalimantan Timur","","87","Umum","Volunteer","Volunteer Organisasi","Ibid.","","","","","","","","","",""
"86","Kab. Buton Utara","Sulawesi Tenggara","","Boven Digoel","Papua Selatan","","88","Umum","Volunteer","Volunteer Event","Regulasi Kompetisi IHF (21 Agu 2024), butir umum","","","","","","","","","",""
"87","Kab. Ciamis","Jawa Barat","","Boyolali","Jawa Tengah","","89","Umum","Volunteer","Volunteer Media","Regulasi Kompetisi IHF (21 Agu 2024), butir umum","","","","","","","","","",""
"88","Kab. Cianjur","Jawa Barat","","Brebes","Jawa Tengah","","90","Umum","Volunteer","Volunteer Administrasi","Regulasi Kompetisi IHF (21 Agu 2024), butir umum","","","","","","","","","",""
"89","Kab. Cilacap","Jawa Tengah","","Bukittinggi","Sumatera Barat","","91","Umum","Volunteer","Volunteer","Regulasi Kompetisi IHF (21 Agu 2024), butir umum","","","","","","","","","",""
"90","Kab. Cirebon","Jawa Barat","","Buleleng","Bali","","92","Umum","Team Official","Data Analyst","Daftar umum (ditambahkan)","","","","","","","","","",""
"91","Kab. Dairi","Sumatera Utara","","Bulukumba","Sulawesi Selatan","","93","Umum","Team Official","Direktur Teknis","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5 (sudah ada di no.15, ditambahkan sebagai entri terpisah)","","","","","","","","","",""
"92","Kab. Deiyai","Papua Tengah","","Bulungan","Kalimantan Utara","","94","Umum","Team Official","Head of Delegation","Regulasi Kompetisi IHF (21 Agu 2024), II.4.5.2 (sudah ada di no.86, ditambahkan sebagai entri terpisah)","","","","","","","","","",""
"93","Kab. Deli Serdang","Sumatera Utara","","Bungo","Jambi","","95","Umum","Team Official","Statistician Olahraga","Regulasi Kompetisi IHF (21 Agu 2024), I.3.6 (sudah ada di no.85, ditambahkan sebagai entri terpisah)","","","","","","","","","",""
"94","Kab. Demak","Jawa Tengah","","Buol","Sulawesi Tengah","","96","Umum","Agency Official","Penilai Parameter Tes Kondisi Fisik","Daftar umum (ditambahkan)","","","","","","","","","",""
"95","Kab. Dharmasraya","Sumatera Barat","","Buru","Maluku","","97","Umum","Team Official","Tenaga Keolahragaan","Daftar umum (ditambahkan)","","","","","","","","","",""
"96","Kab. Dogiyai","Papua Tengah","","Buru Selatan","Maluku","","","","","","","","","","","","","","","",""
"97","Kab. Dompu","Nusa Tenggara Barat","","Buton","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"98","Kab. Donggala","Sulawesi Tengah","","Buton Selatan","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"99","Kab. Empat Lawang","Sumatera Selatan","","Buton Tengah","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"100","Kab. Ende","Nusa Tenggara Timur","","Buton Utara","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"101","Kab. Enrekang","Sulawesi Selatan","","Ciamis","Jawa Barat","","","","","","","","","","","","","","","",""
"102","Kab. Fakfak","Papua Barat","","Cianjur","Jawa Barat","","","","","","","","","","","","","","","",""
"103","Kab. Flores Timur","Nusa Tenggara Timur","","Cilacap","Jawa Tengah","","","","","","","","","","","","","","","",""
